"group","album","id","Selfdetermination","style","language","City","sex","region","Название.трека","audio","image","Ссылка.на.группу","listen","isaudio","aprize","year","duration","used_link_newname","locallink"
"CEPASA","Dark Beauty","sing91","Electronic","electronic","англійська","Київ","чоловіча","київ","Dark Beauty","Cepasa_Dark_Beauty.mp3","https://toloka.to/photos/181220211919804752_f0_0.jpg","https://www.facebook.com/cepasaofficial/","https://soundcloud.com/cepasa/sets/dark-beauty-2018","yes","усі альбоми","2018","","img/covers18/dQofSGP6kX.JPEG","yes"
"CHSZM","Love","sing92","experimental, avant-garde","avant-garde","немає","Слов'янськ","чоловіча","схід","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a2850684743_10_0.jpg","https://www.facebook.com/alekseipodat?lst=100006621918722%3A100009141420034%3A1547052094","https://podat.bandcamp.com/album/love","","усі альбоми","2018","","img/covers18/3cS5onrC0z.JPEG","yes"
"CODÂNE","Реалізм","sing93","pop","indie","мікс","Київ","чоловіча","київ","","","https://toloka.to/photos/181123131836804752_f0_0.jpg","https://www.facebook.com/1codane/","https://soundcloud.com/0skwhchlxe00/sets/realzm","","усі альбоми","2018","","img/covers18/lPWCs7Nmy2.JPEG","yes"
"Coven","Black Dahlia (Dahlia Murder)","sing94","Experimental, avant-garde, noise, dark","avant-garde","немає","Madrid","чоловіча","закордон","","","https://images-na.ssl-images-amazon.com/images/I/61mMCTGV0XL._SS500.jpg","https://www.facebook.com/coven.project/","https://coven-project.bandcamp.com/album/black-dahlia-dahlia-murder","","усі альбоми","2018","","img/covers18/zrAlaB5gP4.JPEG","yes"
"Cuckoo's Nest","tales of human being","sing95","Atmospheric / Post Black Metal","metal","англійська","Миколаїв","чоловіча","південь","","","https://f4.bcbits.com/img/a1268278301_10.jpg","https://www.facebook.com/cuckoosnestbm","https://cuckoosnest.bandcamp.com/album/tales-of-human-being","","усі альбоми","2018","","img/covers18/3oXjXFRUpQ.JPEG","yes"
"Daamage","Зло Употребляй","sing96","electro-pop","hip hop & rap","російська","Київ","чоловіча","київ","","","https://i1.sndcdn.com/artworks-000356486577-jg6pue-t500x500.jpg","https://www.facebook.com/daamage.daamage/","https://soundcloud.com/daamage-daamage/sets/zlo-upotrebliay","","усі альбоми","2018","","img/covers18/7g5bzfvCwC.JPEG","yes"
"DaKooka","Герой","sing97","trip hop","electronic","російська","Чернівці","жіноча","захід","Герой","daKooka_Герой.mp3","https://s.mxmcdn.net/images-storage/albums4/0/0/5/1/2/2/40221500_350_350.jpg","https://www.facebook.com/dakooka/","https://www.deezer.com/en/album/67055972","yes","усі альбоми","2018","","img/covers18/rF85aNJtQK.JPEG","yes"
"Danny Delta","НАВИДЖУ","sing98","hip hop","hip hop & rap","українська","Нововолинськ","чоловіча","захід","","","https://toloka.to/photos/181024120513804752_f0_0.jpg","https://www.facebook.com/deltazaurus","https://soundcloud.com/d_d3lta/sets/navidzhu-2018","","усі альбоми","2018","","img/covers18/OtU1ardOXB.JPEG","yes"
"Dark Side Trio","Old Bookcase","sing99","jazz","jazz","немає","Дніпро","чоловіча","центр","City of the Large Squares","Dark_Side_Trio_City_of_the_Large_Squares.mp3","https://kyiv-online.net/wp-content/uploads/2018/05/afisha-kyiv-space-mk-dark-side-trio.jpg","https://www.facebook.com/trioDarkSide/","https://itunes.apple.com/ua/album/old-bookcase/1358849923?l=ru","yes","усі альбоми","2018","","","no link"
"Dead Faith","Mourning Star","sing100","Techno-industrial","rock","англійська","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a0988329775_16.jpg","https://www.facebook.com/deadfaithmusic/","https://deadfaith.bandcamp.com/album/mourning-star","","усі альбоми","2018","","img/covers18/vaJrF8CKpA.JPEG","yes"
"Deadly Oak","Existential Crisis (Red Lust​-​Phobia)","sing101","Dark, deep, electro wave, darkwave, witch house, avant-garde, dub.
","avant-garde","немає","Madrid","чоловіча","закордон","","","https://www.neformat.com.ua/images/imagecache/material_680w/releases/a4147764518_10.jpg","https://www.facebook.com/deadlyoak/","https://deadlyoak.bandcamp.com/album/existential-crisis-red-lust-phobia","","усі альбоми","2018","","img/covers18/A0tD0c5S5V.JPEG","yes"
"Delta Arthur","Trappin in Ukraine","sing102","Hip Hop / Rap","hip hop & rap","мікс","Київ","чоловіча","київ","","","https://f4.bcbits.com/img/a2190904254_10.jpg","https://www.facebook.com/deltaarthur333000/","https://deltaarthur.bandcamp.com/album/trappin-in-ukraine","","усі альбоми","2018","","img/covers18/KgUP4FXDIF.JPEG","yes"
"DETACH","D.R.A.M.A","sing103","Alternative","rock","англійська","Київ","чоловіча","київ","","","https://toloka.to/photos/181129132257804752_f0_0.jpg","https://www.facebook.com/detachmusic/","https://itunes.apple.com/us/album/d-r-a-m-a/1441691011","","усі альбоми","2018","","img/covers18/Hgne1ft5sk.JPEG","yes"
"DoZa","Shaman's movie","sing104","psychedelic rock","rock","англійська","Київ","мікс","київ","","","https://images-na.ssl-images-amazon.com/images/I/51DcqgQ0atL._SS500.jpg","https://www.facebook.com/DoZaBand/","https://dozaband.bandcamp.com/","","усі альбоми","2018","","img/covers18/w4S2C2YpKe.JPEG","yes"
"Drezden","""DREZDEN""","sing105","rock ","rock","російська","Київ, Minsk","чоловіча","київ","","","https://upload.wikimedia.org/wikipedia/ru/thumb/e/e8/Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg/270px-Drezden_%28%D0%B0%D0%BB%D1%8C%D0%B1%D0%BE%D0%BC%29.jpg","https://www.facebook.com/drezden72/","https://www.youtube.com/watch?v=h3OAyHLJjfo","","усі альбоми","2018","","img/covers18/DIzwNoh81U.JPEG","yes"
